grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
133,120.55212864282186,-30.826266618756733,0.0,33.323734882034955,25.6905287428646,4,0.03389748500106563,0.007686974480748177,0.020792229740906904,0.026210510520317455,120,123,0.0944211073757651,3,Lower
38,120.55212864282186,-31.275422206252244,0.0,42.70683736382505,26.650074850637093,4,0.030551377023972013,0.01019124686717987,0.02037131194557594,0.020360130156792142,121,124,0.0815370420861677,3,Lower
22,120.864900499753,-31.365253323751347,0.0,34.90322580604759,24.08268982861804,4,0.027623051698796416,0.012909075245261192,0.020266063472028806,0.014713976453535223,122,87,0.1693190432638561,-35,Lower
37,122.42875978440868,-31.365253323751347,0.0,40.701823161140354,34.023092991175375,0,0.02611843671433664,0.014376138336956501,0.02024728752564657,0.01174229837738014,123,77,0.1996648923859105,-46,Lower
134,120.65638592846555,-30.826266618756733,0.0,23.46233635347537,19.27730925304208,4,0.031103972196946637,0.008387806825339794,0.019745889511143214,0.022716165371606842,124,111,0.1116283082781773,-13,Lower
59,120.76064321410928,-31.185591088753142,0.0,21.5034354272327,4.6157758181107935,4,0.02709985367268774,0.010962414555251598,0.01903113411396967,0.01613743911743614,125,108,0.1232197885875031,-17,Lower
17,122.32450249876496,-31.45508444125045,0.0,41.3997983000256,36.55486127491609,0,0.02332683518775589,0.014175464399158955,0.018751149793457423,0.009151370788596937,126,74,0.2113254817412657,-52,Lower
19,120.55212864282186,-31.365253323751347,0.0,49.57478191442564,32.75310934460471,4,0.02550445856401007,0.01186765544116497,0.01868605700258752,0.013636803122845098,127,125,0.080874054142402,-2,Lower
410,121.69895878490269,-29.568630973769302,0.0,45.89599067377526,13.10570134013124,2,0.026386981727083144,0.010582179762423038,0.018484580744753093,0.015804801964660106,128,135,0.0411469582418892,7,Lower
78,120.76064321410928,-31.09575997125404,0.0,15.061006719615444,7.574178478421442,4,0.02344198788610908,0.012608423829078674,0.018025205857593877,0.010833564057030405,129,82,0.1821517619994067,-47,Lower
335,121.8032160705464,-29.92795544376571,0.0,27.06465237914679,16.90064340755099,2,0.026130642547481896,0.009764105081558228,0.01794737381452006,0.016366537465923668,130,151,0.0189910762554125,21,Lower
58,120.65638592846555,-31.185591088753142,0.0,28.76632870661407,13.633842333848197,4,0.024425170036659467,0.010102501139044762,0.017263835587852112,0.014322668897614705,131,121,0.0974740649011965,-10,Lower
355,121.90747335619012,-29.83812432626661,0.0,29.60080260231369,22.32514456651856,2,0.02267199930337523,0.010204838588833809,0.016438418946104517,0.01246716071454142,132,158,0.0130219333939807,26,Lower
77,120.65638592846555,-31.09575997125404,0.0,24.33687595459512,14.903035005699705,4,0.02214340204971051,0.010385887697339058,0.016264644873524782,0.011757514352371452,133,105,0.1253308749129951,-28,Lower
